MARCA,AÑO,SUBMARCA,G/Km,Descripción,Venta/Contado,Compra/Lista,extra 1,,,extra 2,,,extra 3,,,extra 4,,,extra 5,,,extra 6,,,extra 7,,,extra 8,,,extra 9,,,extra 10,
Acura,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acura,2012,TSX,D,"4 pts. 2.4l, TA, RA-17","122,600","105,100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acura,2012,TSX,D,"4 pts. 3.5l, TA, RA-18","130,000","111,100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acura,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acura,2011,TSX,D,"4 pts. 2.4l, TA, RA-17","104,100","89,100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acura,2011,TSX,D,"4 pts. 3.5l, TA, RA-18","111,200","94,900",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acura,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acura,2010,TSX,D,"4 pts. 2.4l, TA, RA-17","92,000","78,600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acura,2010,TSX,D,"4 pts. 3.5l, TA, RA-18","99,200","84,500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acura,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acura,2009,TSX,D,"4 pts. 2.4l, TA, RA-17","80,800","68,800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acura,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acura,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acura,2011,ZDX,E,"5 pts. TA, piel, QC, RA-18","225,600","193,200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acura,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acura,2010,ZDX,E,"5 pts. TA, piel, QC, RA-18","191,700","163,700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alfa Romeo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alfa Romeo,2020,Giulietta Veloce,0,"5 pts. HB Giulietta Veloce, L4, 1.8T, 237 HP, TA, piel, QC, RA-18","689,900",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
